site_gaw_id,year,month,value,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,flask_no,ORG_QCflag,QCflag,instrument,measurement_method,scale
WLG,2002,8,366.25,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2002,9,370.15,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2002,10,372.21,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2002,11,373.18,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2002,12,374.8,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,1,376.07,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,2,377.27,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,3,378.2,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,4,379.38,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,5,379.71,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,6,375.94,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,7,372.28,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,8,372.68,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,9,374.66,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,10,375.76,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,11,376.68,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2003,12,378.15,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,1,378.85,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,2,379.92,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,3,382.25,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,4,383.61,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,5,380.07,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,6,374.55,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,7,374.67,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,8,374.52,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,9,374.36,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,10,377.9,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,11,379.24,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2004,12,380.24,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2005,1,383.59,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2005,2,384.29,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2005,3,383.69,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2005,4,384.75,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
WLG,2005,5,384.08,-999.999,-9,36.28749847,100.8963013,-999.999,3810,-999.999,-999.999,-999.999,1,-9,-9,158
